ID;X;Y;CATEGORY;STORE
145;786980;6566887;DIY;Fressnapf
146;825250;6553997;DIY;Das Futterhaus
147;739629;6477748;DIY;Hagebau Baumarkt
148;868219;6514752;DIY;Eurobaustoff
149;798331;6441753;DIY;Eurobaustoff
150;891114;6599033;DIY;Hagebau Baumarkt
151;890657;6601257;DIY;Hellweg
152;903865;6586652;DIY;Hagebau Baumarkt
153;933637;6624079;DIY;Fressnapf
154;896688;6630643;DIY;Hagebau Baumarkt
155;865422;6693197;DIY;Eurobaustoff
156;869102;6733366;DIY;Eurobaustoff
157;972328;6462985;DIY;Das Futterhaus
158;966956;6462291;DIY;Hagebau Baumarkt
159;959678;6419125;DIY;Fressnapf
160;959748;6419331;DIY;raab karcher
161;995318;6431004;DIY;Eurobaustoff
162;938942;6432326;DIY;Fressnapf
163;766417;6357724;DIY;Eurobaustoff
164;839807;6344574;DIY;Eurobaustoff
165;927317;6361637;DIY;Eurobaustoff
166;906117;6319707;DIY;Eurobaustoff
167;929726;6374774;DIY;Bauhaus
168;1019059;6235815;DIY;Fressnapf
169;1012657;6221114;DIY;Fressnapf
170;1003429;6218322;DIY;OBI
171;1018720;6251693;DIY;Pflanzen Mauk
172;957710;6197963;DIY;Eurobaustoff
173;934655;6180914;DIY;Bauhaus
174;1025351;6184327;DIY;Fressnapf
175;1021706;6164443;DIY;i & M Bauzentrum
176;1104964;6234672;DIY;Hagebau Baumarkt
177;1079210;6285619;DIY;toom BauMarkt
178;1028016;6345571;DIY;Eurobaustoff
179;986426;6310672;DIY;i & M Bauzentrum
180;993946;6300734;DIY;BauSpezi
181;930551;6307451;DIY;Eurobaustoff
182;909771;6284690;DIY;Eurobaustoff
183;898237;6188166;DIY;Eurobaustoff
184;944840;6089049;DIY;Fressnapf
185;869555;6097406;DIY;Bauhaus
186;1297815;6120381;DIY;Fressnapf
187;1424806;6085890;DIY;EMV-Profi
188;1417404;6166786;DIY;Hagebau Baumarkt
189;1349196;6136674;DIY;EMV-Profi
190;1390688;6152130;DIY;EMV-Profi
191;1242656;6250346;DIY;Eurobaustoff
192;1151484;6142034;DIY;toom BauMarkt
193;1191984;6246330;DIY;BauSpezi
194;1211354;6108775;DIY;Eurobaustoff
195;1132992;6096516;DIY;Eurobaustoff
196;1045503;6052857;DIY;Eurobaustoff
197;1169584;6198161;DIY;toom BauMarkt
198;1129727;6219638;DIY;Bauhaus
199;1220481;6367993;DIY;OBI
200;1229323;6393190;DIY;Sonderpreis Baumarkt
201;1287492;6273571;DIY;EMV-Profi
202;1352229;6386498;DIY;Fressnapf
203;1339622;6411810;DIY;EMV-Profi
204;1318097;6237338;DIY;Hagebau Baumarkt
205;1513792;6208482;DIY;Hagebau Baumarkt
206;1423924;6194331;DIY;Sonderpreis Baumarkt
207;1441112;6242287;DIY;Fressnapf
208;1326761;6493471;DIY;Hagebau Baumarkt
209;1289734;6433190;DIY;Fressnapf
210;1370076;6418395;DIY;EMV-Profi
211;1383832;6435483;DIY;EMV-Profi
212;1226148;6434200;DIY;Sonderpreis Baumarkt
213;1112058;6403410;DIY;OBI
214;1130856;6392503;DIY;Das Futterhaus
215;1126580;6463905;DIY;Sonderpreis Baumarkt
216;1055073;6401863;DIY;Hagebau Baumarkt
217;1215850;6593592;DIY;Hagebau Baumarkt
218;1256335;6611500;DIY;Hagebau Baumarkt
219;1280304;6617142;DIY;toom BauMarkt
220;1238936;6641578;DIY;OBI
221;1201227;6699671;DIY;toom BauMarkt
222;1199482;6701953;DIY;Fressnapf
223;1139423;6637420;DIY;BauSpezi
224;1527475;6622123;RET;Montblanc
225;1522761;6628871;RET;ZOO & Co.
226;1519868;6621909;RET;ZOO & Co.
227;1509764;6636072;RET;ZOO & Co.
228;1519821;6594271;RET;Pfennigpfeiffer
229;1550029;6607242;RET;VEDES
231;1628024;6703505;RET;VEDES
232;1585952;6691665;RET;McPaper
233;1593671;6749224;RET;Hugendubel
234;1592200;6741270;RET;Zeeman
236;1376158;6673738;RET;Swatch
237;1376082;6674015;RET;Wempe
238;1366632;6670759;RET;McPaper
239;1442219;6713737;RET;idee+spiel
240;1325556;6699341;RET;Bijou Brigitte
241;1361287;6760825;RET;ZEG
243;1287869;6601127;RET;Swatch
244;1287869;6601127;RET;SpieleMax
245;1389244;6564349;RET;Weltbild
246;1412613;6541111;RET;Mäc Geiz
247;1384174;6585358;RET;Pfennigpfeiffer
248;1433078;6577803;RET;Zeeman
250;1491319;6886775;RET;NANU-NANA
251;1497090;6887449;RET;Stadler
252;1494722;6891350;RET;Pfennigpfeiffer
253;1482695;6888257;RET;Euroshop
254;1494013;6879737;RET;Mäc Geiz
